sentiment,negative_reason,text
positive,,latest nanos polls final weekend campaign  cdnpoli  elxn
positive,,lawrence mccauley important response xe x x press conference  elxn
positive,,learn justice policy  elxn  cdnpoli
positive,,learn n justice policy  elxn  cdnpoli
negative,Scandal,let xe x x remember greens hired kinsella working greens cpc seems unethical  elxn
positive,,let xe x x get past bickering adults room kids depend oct st please consider voting green n forwardtogether  parksvillle  portalberni  courtenay  qualicumbeach  tofino  ucluelet  nanaimo  denmanisland  hornbyisland  youthvote  elxn  cdnpoli
positive,,let xe x x put another way n ni would like pay exact salary months instead months n nstill consider xe x x cno cut xe x x  cdnpoli  elxn
positive,,lets support  greennewdeal champions monday  elxn  ourtime
positive,,lib terry lake provincial cabinet first ajax enviro assessment process would oppose mine resubmitted  kamloops  elxn  cdnpoli
positive,,liberal campaign says people milton rally  cdnpoli  elxn
negative,Others,liberal catherine mckenna removes traces justin trudeau election campaign throws trudeau bus looks    elxn  cdnpoli  ottawacentre  ottawasouth  climatebarbie  trudeaumustgo
positive,,liberal party saving planet l jet fuel time  elxn
positive,,liberals bring chretien campaign mckenna ottawa riding race tightens  cdnpoli  elxn
positive,,liberals expand lead conservatives cbc poll tracker seats libs chance winning election n n  cdnpolls  elxn
negative,Scandal,liberals launch chinese ad debunk claim want legalize drugs  elxn
negative,Tell lies,lies lies lies wonder  scheerdishonesty stop oh btw  scheermajority  scheerdelusion  elxn ncanadian pm canadian citizen  americanscheer
positive,,line see  milton n n elxn
negative,Others,little adam scheer nsat corner neating oilasses pie nhe put thumb nand pulled kinsella nand said oh joy see xe x x n n cdnpoli xc xa  elxn xc xa  dirtypolitics
positive,,little one loves campaign office nespecially gazanda bear xf x f x xbc n elxn
positive,,live regina goodale campaign absolutely humming right amazing see close  cdnpoli  elxn
negative,Scandal,lmao shocking postmedia going conservatives xe x x media left wing bias xf x f xa x xf x f x x  cdnpoli  elxn  abpoli  ableg
positive,,local candidates held news conference friday discuss topics like boosting child benefit fund via  election  elxn
negative,Scandal,lol newspaper become third party advertiser pick fight canada post flyers xf x f x x election truly ridiculous  yegmedia  cdnmedia  elxn
negative,Others,lol xe x x sad spectacle bad journalism someone actually reads post highlights  elxn
negative,Others,looks like one buying liberal campaign literature n n elxn
positive,,love hate reasons vote n n xe x c x canada one two g members aaa credit rating n xe x c x k kids longer living poverty n xe x c x unemployment yr low n xe x c x economic growth rate higher us n n cdnpoli  elxn
positive,,love n nto friends colleagues  miltonon deserve much better lyin xe x x lisa xe x x unhinged unprofessional divisiveness show door amazing hard working mp canada xe x x fastest growing municipality  chooseforward  elxn
positive,,love volunteer voting info languages  cdnelxn  elxn  cdnpoli
negative,Tell lies,lying andrew scheer lying n n elxn  cdnpoli
positive,,mackenzie king canada successful pm philosophy words fr scott n n nothing halves nwhich done quarters  cdnpoli  elxn
negative,Women Reproductive right and Racism,madeline smart year old centennial college journalism student says reproductive rights access abortion discussed  elxn n
negative,Others,malice spite negativity idiotic memes  elxn  cdnpoli
negative,Others,man oh man many people fall weak mealy mouthed responses simple questions  cdnelxn  cdnpoli  elxn
positive,,margaret atwood reminded week xe x x cvote party knows really climate crisis even semi viable plan might actually win riding xe x x  elxn
positive,,martin luther king iii says would vote trudeau despite pipeline blackface n elxn  cdnpoli n letsdothis xf x f x xa xf x f x xa  chooseforward xf x f x x
negative,Women Reproductive right and Racism,maxime bernier deliberately set attract xenophobic haters party exposing racists party like shooting fish barrel  cdnpoli  elxn  maxfaction
positive,,maxime bernier speaking cbcnn ctv news channel nsaid office filed official complaint elections canada n elxn
positive,,maxime bernier live press conference p n  kinsella  elxn  canadavotes
negative,Scandal,maxime bernier seeks elections canada investigation conservative financed smear campaign n cdnpoli  elxn  nocpc n electioncommission n electionfraud n via
positive,,maybe worked see even get seat  elxn  cdnpoli
positive,,cheering ndp wanting split vote results vary riding  elxn
positive,,looking  postmedia hashtags reminds  torontostar article  cdnpoli  elxn
negative,Scandal,means andrew scheer conservatives guilty charged n n cdnpoli  elxn
positive,,meeting lots lovely pups along way today athena weeks old doll n n dartmouth  coleharbour  elxn
positive,,melissa great see n n elxn
negative,Others,millions foreign funds spent federal election defeat harper govt n n rd parties worked may bypassed election spending limits n n n cdnpoli
negative,Others,millions votes thrown away first past post system create massive ocean garbage patch n elxn  cdnpoli n
positive,,milton rally lisa raitt xe x x riding former cpc minister current deputy leader party liberal candidate former olympian adam van koeverden barenaked ladies xe x x ed robertson intro xe x x trudeau keeps talking danger tory cuts need strong lib govt  elxn
positive,,milton n people want keep going right direction  chooseforward n nlet xe x x send olympic gold medalist parliament xf x f x f x n n chooseforward  elxn  cdnpoli xf x f x xb
positive,,monday going good day canada votes  elxn  theriseofskywalker trailer drops tickets go sale
positive,,monday october st  elxn xe x x crystal ball gaze think happen  kamloops thompson  cariboo riding  cndpoli  cathymcleod  iaincurrie  terrylake  cpc  lpc  greenparty  ndp
positive,,monday one things happen n n liberal majority government n cpc majority government n liberal b c minority n another election n nscheer made clear seek support party way highway  cndpoli  elxn
positive,, vancouverisland  uprisingh  elxn
positive,,people living canada working election stand workers defend rights check party promises  cdnpoli  bcpoli  elxn
negative,Others,mr evade  elxn  cdnpoli
positive,,must read article going  elxn outlines focusing
negative,Others, elxn prediction whatever outcome lose  cdnpoli
positive,,yr old roommate little interest politics still wants vote suggestions non partisan voting guide matching values parties  elxn  elxn  vangran
positive,,answer coalition question xe x x preferred outcome hope xe x x get transformational stuff done like  elxn
negative,Others,brother given expired october cranberry sauce  antigonish  foodbank last month going fix  elxn  novascotia  centralnova
positive,,cheerleaders xf x f x xa ready  cdnpoli xc xa  elxn
positive,,comments new application ajax mine  kamloops  elxn  cdnpoli  chooseforward
positive,,feelings leading monday  abpoli  cdnpoli  elxn
positive,,fervent wish come monday night around pm n cdnpoli  elxn n
negative,Others,gawd train wreck glorious n elxn n scheerlies n scheerhypocrisy
positive,,grandma garcie called tell us make vote jagmeet  elxn
negative,Scandal,local liberal mp stephen fuhr long ago blocked twitter daring criticize getting desperate started putting signs neighbouring ridings n n cdnpoli  elxn  cpc
positive,,msc supervisor inspirational  scienceispolitical  elxn
negative,Climate Problem,signature jt pi creative nerd helped hundreds calgarians understand water climate crisis critical thinking fake news antidote help calgarians take  climateaction every day  votejosephine  votetsang  elxn  calgarynosehill  yyc
positive,,study buddy helping compare fiscal implications campaign promises timely assignment mpa program  caturday  elxn  cdnpoli
negative,Others,national post ntrudeau failed voters toss n  ottawacentre  ottawasouth  elxn  cdnpoli  polqc  poliqc
negative,Scandal,ndp candidate thinks canada house lords thinks xe x x ok plaster th line haphazard bunch signs liberal signs also vandalized erin mills xe x x mps xe x x even allowed heckle house commons  mississauga  elxn
positive,,ndp leader jagmeet singh says xe x x given oil rich alberta newfoundland via  elxn
positive,,neil young endorsed elizabeth may green party happened justin years loose  elxn  elxn n n
negative,Others,neither liberals conservatives deserve govern canada xf x f x xa xf x f x xa n n cdnpoli  elxn
positive,,never forget year old  andrewscheer abandoned ottawa home move saskatchewan order better chance elected house commons typical modern conservative believes nothing except self advancement  elxn
negative,Economy,never trust cons finances n official deficit never billion n province recorded actual deficit billion n reduced cap trade auction revenue b cancel related spending n n xf x f x x
positive,,new n n n n projectcactus n n ppcmajority n n elxn
negative,Others,nice try daisy group trumpian nixonian xf x f x x n daisy create arm length organization cannot linked client participating organization client cpc n cpckinsellagate n cpccheatthencheatsomemore n cdnpoli n elxn n chooseforward
positive,,foreign policy debate refused attend  cdnpoli  elxn  trudeaumustgo
negative,Others,nobody great  canada endorsing guess n nso  campaign manager n n xe x x chello insert us democrat n nthis gerald butts guy running  pm err running campaign  trudeau count publicly  endorse guy  elxn
positive,,nobody country worked harder  elxn n nhe make tremendous mp
negative,Others,nope xe x x give pass xe x x lawyer xe x x done homework aho  kinsellagate  jwr  chooseforward  elxn
negative,Others,good look  elxn  elexn  kinsellagate
positive,,agree scientists get political found motivations inspiring scientists felt duty use expertise fix scary environmental problems study witness every single day  elxn n n
negative,Others,looking great n n cdnpoli  trudeaumustgo  elxn
positive,,locally source ballot printing give deputy returing officers sweet little farmer xe x x market bag  elxn
negative,Others,nothing quite like right right crime  cpc  ppc  elxn
negative,Others,notice tell every time gulping water lies cover dry mouth gets poker player kinsella sell ever since regularly trashed owned aspers national post  elxn  cdnpoli
positive,,someone else would want four years xf x f xa x xf x f xa xb xf x f x f xbc xe x x xe x x xef xb x f  elxn  raptors
negative,Scandal,kinsella cpc exposed wonder harassers thinking hey maybe ethnic polish jew mother really xe x x nazis fascists xf x f xa xb xe x x xe x x xef xb x f  vangran  cdnpoli  elxn think got
positive,,obviously  cpc internal polls show ahead pull stops n elxn
negative,Others,obviously asking able give xf x f xa xb xe x x xe x x xef xb x f n n elxn
negative,Scandal,oh  canadavotes pls keep  american  canadian politics  elxn  scheerrepublican  scheercuts  scheerhypocrisy  scheerdisaster  scheerdesperation arrogance reeks  trump style politics  cdnpoli  bcpoli  onpoli  quepoli
negative,Scandal,oh scheer refuses say whether tories hired strategist xe x x seek destroy xe x x people xe x x party  cdnpoli  elxn  chooseforward
positive,,oh gonna make move back home monday  pleaserespond  elxn
negative,Others,oh look another poll failed faron ellis n n yql  elxn  cdnpoli
positive,,oh good stuff coming seriously love one n elxn  vote
positive,,ok today mess decided newborn would take  elxn first election xe x x volunteered think since today
positive,,old victorian train conductor steps office looks pocket watch yup time postmedia xe x x conservative endorsement  elxn
negative,Tell lies,omfg never even thought wonder yankee doodle andy desperate makes lie lie try hurt trudeau credentials get real job xe x x become pm excellent n n elxn
positive,,monday let xe x x vote good guys get back twitter want reach phone throat punch everyone  elxn
positive,,monday choose  hopeandaction  ldnwest n n initforyou  ndp  ldnont  uprisingh  elxn
negative,Others,monday ignore complete nonsense n n elxn  cdnpoli
positive,,monday let xe x x  chooseforward together  elxn
positive,,oct angela participated candidates debate  ottawacentre moderated mark sutcliffe news still  undecided listen hear angela thinks important issues  elxn n canadavotes  voteangela  greenparty n
positive,,bus heading xe x x rally downtown vancouver two uncles two days xe x x time truly progressive government works people  elxn  cdnpoli  elxn  teamjagmeet  teamburnaby
positive,,campaign trail n xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x xe xa x n elxn  initforyou  federalndp  cdnpoli  elections  cdnelections  ndp  womeninpolitics  careovercuts  farinahassan  teamfarina  milton  miltonon  miltonontario  ottawa  ontario
negative,Tell lies,heads bc federation labour saw ndp leader jagmeet singh picket line supporting workers sold  elxn n elxn n n
negative,Separation,upon time qu xc x bec alberta allies federation secession talk air alberta movement born qu xc xa bec  cdnpoli  elxn  ableg
positive,,one best reads election take look reflect important truths  elxn
positive,,one famous respected canadian environmentalists  teamgreen n nif care planet need monday bring friends family vote need hear voice n n yqg  elxn  cdnpoli
negative,Scandal,one publicized proven conservative scandals robo call scandal deliberately sent voters wrong voting stations brilliant strategist  cpc offering service election n cdnpoli  elxn  scheerdisaster
positive,,one things learning twitter  elxn campaign many people follow also live edmonton griesbach hi neighbours
negative,Scandal,one question  cdnmedia nwhere f ck n nattacking democracy way bigger socks snc nothing cya move n nyou failed canadians xf x f x xa xf x f x xa n n elxn  cdnpoli
positive,,days  elxn
positive,,ontarians remember disaster doug ford created province remember cut funding education public health environment tech research scheer cut services vote liberal ndp  elxn  cdnpoli
positive,,oooh good question n n cdnpoli  elxn  itsourvote
positive,,oops forgot disclose director aurea foundation funded represents fraser institute also forgot disclose brother board fraser institute  elxn  cdnpoli
negative,Scandal,oops andrew scheer hopping bed warren kinsella talk tail dog n cdnpoli  elxn
positive,,opinion election xe x x black voter via  cdnpoli  elxn
positive,,original story listing n
positive,,endorsement best choice canada andrew scheer xe x x ottawa citizen  cdnpoli  elxn
negative,Separation,federal politicians regardless stripes allowed  canada hijacked separatist extremists  quebec  canadadeservesbetter  cdnpoli  canpoli  elxn  elxn  canadavotes  canadaelection  cdnvote
negative,Healthcare,individual medical rights freedoms stripped away vote  ppc  elxn tell  bigpharma get ottawa
positive,,next pm n elxn  cndpoli
positive,,team hitting doors early get thousands voters polls  coquitlam  portcoquitlam n nit xe x x time get ahead xf x f x xb n n cdnpoli  elxn  victoryisknocking
positive,,packed house milton banquet hall trudeau joined local candidate adam van koeverden  cdnpoli  elxn
positive,,packed house liberal rally milton  teambarron definitely well represented energy air palpable n n chooseforward  elxn
positive,,partner excitedly tells  tordan  davenportto  parkhp close call leaning xf x f x x get anxiety tummy thinking late xe x x monday night  elxn
positive,,people  simcoenorth support progress societal fairness must come polls monday  elxn  cdnpoli  elxn  orillia   idland  penetanguishene
positive,,people often think say black people apathetic electoral politics turns plenty xe x x wrote  elxn
negative,Others,people vying head  canada afraid  quebec extremists like blanchet political boss legault never make argument federalism canada deserve pm country  cdnpoli  canpoli  elxn  elxn
positive,,perhaps underplayed story  elxn incompetence cpc campaign need perfect storm opponents somehow end wreck
positive,,photo ops chance take photo politicians political candidates see frequently campaign trail purpose think fulfill important candidates hoping secure votes  cpacvote  cdnpoli  elxn
positive,,pierrepoilievre thank support ivan  elxn
positive,,please listen nand live happened years ago n ngo vote n n elxn  cdnpoli n n
positive,,please read entire thread  elxn
positive,,please retweet n nthis one  politicians mr politician man whatcha done lately woah oh  protestsong  cdnpoli  elxn n n n n n n
positive,,please think vote n  elxn n neverscheer
negative,Tell lies,politicians drink water lie giving hydration bad name  elxn
positive,,polls indicate trudeau remain sussex heading minority government monday xe x x election n n cdnpoli  elxn  fed  election   xc x lection
positive,,pollster w one accurate polls along w updates rolling day poll per evg moe n n lpc xe xac x xef xb x f n n cpc xe xac x xef xb x f n nso lpc could high cpc low xf x f xa xa n cpc lpc n n bq xe xac x xef xb x fin qc n n elxn n cdnpoli
positive,,positive substantial campaigning anyone  ndp  elxn
negative,Others,postmedia deserves far worse scrutiny n elxn  cdnpoli n defundcbc  boycottpostmedia
negative,Scandal,postmedia inc sun chain often railing foreign interference affairs fact owned american hedge fund  cdnpoli  elxn
negative,Climate Problem,postmedia xe x x endorsement editorial every nonsense tory talking point xe x x cthe libs havent reached climate change goals elect party xe x x even try trudeau xe x x get reconciliation first nations elect party wants go war xe x x  elxn
negative,Scandal,ppc leader says ppc filed complaint elections canada cpc wants know funded campaign rhino candidate beauce also named maxime bernier  cdnpoli  elxn n n
positive,,pretty much everyone know irl voting monday october n elxn  cdnpoli n nabout work couple dozen outside work
positive,,pretty sure xe x x  andrewscheer could run either  gop  democratic primaries father natural born american thus passing citizenship son mr trudeau xe x x parents canadian born montreal duh xf x f x x  cdnpoli  elxn
negative,Scandal,pretty sure traditional way forming government first scandal  elxn  canpoli
negative,Scandal,prime minister andrew scheer launch judicial inquiry trudeau snc obstruction justice scandal  elxn xc xa  cdnpoli  kinsellagate  singh  trudeamustgo n n
positive,,prime minister justin trudeau xe x x underage accuser much younger time relationship first thought father tells chronicle  cdnpoli  elxn n
positive,,prime minister scheer send us america xe x x orbit via n n cdnpoli  onpoli  elxn
positive,,pro tip nif gonna attack opponent ethics anything comment press nif dirty denial easy n kinsellagate  elxn
positive,,probably final projection still lots uncertainty balance still see pretty darn close  cdnpoli  elxn
negative,Others,progressives zero boundaries comes winning power n n trudeaumustgo  trudeaucorruption n n elxn  cdnpoli
negative,Others,protip n nrebel hire best n nrebel personnel routinely made look foolish children  elxn  cdnpoli
positive,,proud join  liberals vaughan rally last night justin xe x x message clear xc xa stop conservative government need elect liberal government well said  chooseforward  elxn
positive,,proud say xe x x voting monday  elxn strong smart principled xe x x xf x f x x a votendp  cdnelxn
positive,,pssst hey canada let xe x x vote ndp time like us time little put promise next time vote green  elxn npass
positive,,quebec voters tend change parties often xe x x n cdnpoli  elxn
negative,Others,question cpc voters vote cpc scheer monday n n voters make comments voting may may engage n n kinsellagate  kinsella  elxn  cdnpoli  chooseforward
negative,Scandal,questions linger xe x x repeated non denial denials whether tories paid lobbying firm discredit  elxn n n
positive,,quite endorsement n n xe x x cyou xe x x gotta decide represents people remember history doomed repeat mistakes past xe x x n nvote  elxn xf x f x xb
positive,,quote day goes talking time flag bearer olympic games looking countries looking back fellow canadian athletes sing canada realize canada looks like world  elxn
negative,Tell lies,rat fucking writing column  cdnmedia big deal  cdnpoli  elxn
negative,Tell lies,read thread ndp platform bunk read platform  cdnpoli  elxn  chooseforward
positive,,ready make youths say moment whirlwind xf x f x c xaa xef xb x f  elxn  greennewdealcanada  landback
negative,Tell lies,really mis disinformation becoming ridiculous  elxn  cdnpoli  
positive,,recap leaders performance  elxn n
positive,,regardless party affiliation great respect stamina energy leaders support families give enduring verbal abuse  elxn
positive,,regardless outcome monday xe x x  elxn xe x x play xf x f xa x xe x x great time fall rabbit hole n
positive,,regardless whether believe chance winning ask get vote candidate party believe  cdnpoli  elxn  kamloops  cariboo  lpc  cpc  greenparty  ndp  cathymcleod  terrylake  iancurrie  cynthiaegli
positive,,reine jensen asked  ndp pharmacare plan would ensure  transpeople xe x x face discrimination medication  elxn
positive,,reinvent die challenge facing traditional parties via  elxn  cdnpoli
negative,Tell lies,remember fake posts bots anything else considerably change mind make believe lies strategic forgo intellect trust believes values favour stop idiot n n elxn n cdnpoli
negative,Others,remember  media democracy free elections xe x x want  canadians decide throw crap us final days see sticks influence voters fence xe x x take anything say gospel next days  vote  elxn  cpc
positive,,remember scott brison days  cdnpoli  elxn  admiralnorman  trudeausilencer
negative,Others,remember also used  kinsellagate jwr philpott leaking cabinet info worse deplorables  elxn
negative,Healthcare and Marijuana,reminder undecided voting left  elxn years could legalised marijuana  chooseforward
positive,,reminds guy navigated country one worst recessions history came balanced budget  elxn
positive,,reporter xe x x n njustin trudeau want years doug ford n n elxn  cdnpoli
negative,Women Reproductive right and Racism,reproductive rights whether within canada overseas result foreign aid policy safe conservatives form government period  elxn
negative,Tell lies,ridiculous vote liberal first past post promised end last time like rewarding promising end blood ban n n elxn  cdnpoli  canada
positive,,robert bourassa english canada must clearly understand regardless said done qu xc xa bec today always society distinct free able assume destiny development  cdnpoli  elxn
positive,,rough trends election outcomes conservative popular vote n n cdnpoli  elxn
positive,,rough trends election outcomes liberal popular vote n n cdnpoli  elxn
positive,,round canvassing w morning canvassing w  uprisingh  elxn  friendswhocanvass gether
positive,,ruth former national inuit youth council president passionate hard work kindness influential youth make difference make change decide future movement let xe x x part mq n n ilinnutpiliriavut  ndp  elxn
negative,Climate Problem,say goodbye  oilpatch boys girls  elxn
positive,,say great view cross  cdnpoli  elxn  maximefamily
positive,,scheer answered repeated questions report refrain xe x x comment vendors party may may engaged  cdnpoli  elxn n n
negative,Tell lies,scheer terrible liar xf x f x x pulled convincing lies mom asked ate cookies child yes yes eat xf x f x xaa  cdnpoli  elxn
negative,Others,scheer insipid traitorous weasel n scheerlies  scheerdisaster n nocpc  cdnpoli  elxn
negative,Scandal,scheer xe x x say conservatives hired consultant xe x x destroy xe x x people xe x x party n elxn  cdnpoli  abc  countryoverparty
negative,Scandal,scheer xe x x say conservatives hired kinsella firm xe x x seek destroy xe x x bernier xe x x people xe x x party via  cdnpoli  elxn
positive,,screening tonight  ladnerbc watch time reelhouse  elxn
negative,Others,secure border nif bullshit xe x x stop xe x x time citizens defend border country n cdnpoli  elxn
positive,,see full post thanks digital ecosystem research challenge supporting  elxn work
positive,,seems like quiet polling day get anything trackers today tomorrow going bring us avalanche final polls n n cdnpoli  elxn
negative,Scandal,seems media piling scheer conservatives last couple days election must know something scared  elxn
negative,Others,seriously strategy guys look  kenney  warroom xe x x train tactics opposition post election want send message  cdnvoters xe x x tolerate bull lose  cdnpoli  elxn
positive,,easily one effective opposition members prosecuting government xe x x ethics every turn xe x x surprise trudeau wants see gone one xe x x personal  elxn
negative,Tell lies,sheer unfit lead aside xe x x see media holding trudeau account like deflects questions  cdnelxn  elxn  cdnpoli
positive,,short break  cdnpoli  elxn n soundon nkananaskis county bc xf x f x xa xf x f x xa n xf x f x xb ritzroams
negative,Scandal,kinsellas fired conflict interest prosecuted interfering federal election n n elxn  cndpoli  ppc  kinsellouts
negative,Others,shoutout canadian nerds get stress fate country getting star wars tickets monday  elxn
negative,Tell lies,sick fake news semi crash leaks petroleum products look reports damage area ab really think dumb anyone think cbc still legit  cndpoli  elxn  defundcbc
negative,Others,silly hoping strategic voting election would include defeating well  elxn
negative,Scandal,singh responds story conservatives hired consultant xe x x cdestroy xe x x ppc n xe x x cwith respect plan subvert another party paid another party cdns would troubled things conservatives going respond xe x x  canadavotes  elxn
positive,,snarky ndp favourite ndp  nightfollowsday  uprisingh  elxn
negative,Scandal,hired firm try destroy ppc swing votes towards cpc n nscheer also blatantly lied parties raising gst n nand trudeau untrustworthy one n n elxn n cdnpoli
negative,Tell lies,lied got called lying rejected lie xe x x cdoesn xe x x trust trudeau xe x x xe x x officially trump territory folks  cdnpoli  elxn  scheernonsense
negative,Scandal,time kinsella actually paid like apologize thinking personally bad person job scheer paying n cdnpoli  elxn  kinsellagate  scheerkinsella  kinsellasnc
positive,,glad see take advantage free access read quality canadian journalism  elxn
negative,Scandal,get democratic reform actually n
negative,Others,attempt connecting young people via social media half baked attempt thru policy  elxn n n
positive,,days left til election xe x x wondering many undecided voters still xf x f xa x n nhave already decided n cdnpoli  elxn  vote
positive,,worth read n na prompt us encourage friends neighbours vote start conversation maybe offer lift polling station monday n nwe fortunate canada able vote safety without fear n n elxn  cdnpoli
negative,Scandal,canadian trumpty dumpty showing true colours hires firm dig dirt opponents n cdnpoli  elxn  itsourvote  chooseforward
positive,,xe x x yes  scheerliar  scheerdisaster  scheernonsense  elxn
negative,Scandal, ppc really bad media painted know interview comes end scheer takes swig water n n sipandrun  andrewscheer  warrenkinsella  maximebernier  elxn  cdnpoli  canadavotes
negative,Separation,last days elect new government people wonder alberta sask parts manitoba suggesting separation maybe xe x x leaders confirmed unimportant  cdnpoli  cdnmedia  elxn
negative,Others,common sense coming  vancouver normally goes die n n bcpoli  vanpoli  yvr  victoriabc  burnaby  richmondbc  britishcolumbia  abpoli  polqc  quebec  ontario  ottawa  onpoli  topoli  canpoli  cdnpoli xc xa  politics  elxn
positive,,fine words  elxn please take time read  stopscheer
negative,Others,people slower learners others xf x f x x took media four years notice justin trudeau never directly answers question ever n elxn  trudeamustgo
negative,Others,someone needs stop ppl wrong n elxn  cdnpoli  itsourvote  prochoice
positive,,someone ask andy get good bang buck  elxn
positive,,something consider monday  elxn  onpoli
positive,,sooo close n n cdnpoli  elxn
negative,Scandal,sorry looking good  miltonon great guy hell would vote could plus cancer sexy comment pretty stupid maybe could insurance secretary lose monday  buhbyelisa  elxn
positive,,sound friends  elxn xf x f x e xa
positive,,statement canadian federal election  forest  cdnpoli  elxn  environment  youth climate  climatecrisis
positive,,stay lighthearted election horrible n ncuddle pandas xe x x accuse people hating trudeau xe x x know n n chooseforward  elxn
positive,,still feel undecided uninformed vote less two days canadians cast ballots monday check major parties xe x x platforms see monday  elxn  canadaelection
positive,,still force hardest working team  guelph  elxn  ppc
negative,Others,stop asking click bait questions ask shit canadians really care n complicated n n elxn
positive,,studying sports weekend n ni xe x x live liberal minister jim carr xe x x campaign hq reporting part  elxn broadcast
positive,,stumble bum  scheer one finer moments  fumblefrack  elxn  cdnpoli
negative,Scandal,sun scribe  kinsella hired take  bernier  conservatives  cdnpoli  cdnmedia  elxn
positive,,super saturday x underway  vangran  teamjody get knock doors lovely street mumma  grateful xf x f x xaa elxn
negative,Scandal,surprise american hedge fund controlled newspaper chain linked national enquirer yet supports lying homophobic misogynist insurance clerk oil shill run canada  cdnpoli  elxn
positive,,days  elxn brave volunteers soaking honks green wave  coombs  goatsontheroof  cdnpoli  votegreen
positive,,take break  elxn minute listen humpback whale song captured
negative,Economy,taking credit economy like claiming control tides using public money buy pipeline negative positive also pretty thin four years government forgot  fakelegalization  elxn  cdnpoli
positive,,teams volunteers across country working hard getting ready get vote xf x f x xb  chooseforward monday want help show local liberal campaign office volunteer also go team marco go xf x f x x  elxn
positive,,thank grateful support help wisdom xe x x wait work  cdnpoli  elxn  chooseforward  vangran
positive,,thank stopping campaign hq  etobicokecentre canvassing us today great response doors ahead  elxn volunteers motivated paint riding blue monday  cdnpoli
positive,,thank welcome doors wonderful community  guelph  guelphproud  cdnpoli  elxn  conservative  canada  ontario  vote
positive,,thank support ivan  elxn
positive,,thank mike support vote n n votetracygray  kelowna  lakecountry  okanagan  vote  canadavotes  canada  cdnpoli  elxn  yourcommunity  community  yourvoice  timetogetahead  conservatives
positive,,thank cory parker support hope continue advocate bring fenders funds public safety member parliament  sre  joepeschisolido  chooseforward  jointeamjoe  elxn  cdnpoli  voteforjoe  richmondbc  stevestonrichmondeast
positive,,thank incredible endorsement xe x x cin divisive times need human rights champion like mae j nam parliament someone protect minorities make life affordable xe x x  ndp  elxn  initforyou  beacheseastyork  bey
positive,,thank  chooseforward  elxn  cdnpoli
positive,,thank thoughts exactly nandrew scheer xe x x advertised n neverscheer  scheerlies  scheerhypocrisy n n chooseforward  chooseforwardwithtrudeau n cdnpoli  elxn
positive,,thanks helping today  elxn
positive,,thanks memories na xf x f x xa xf x f x xa teaching moment ntop yr old watches father pays respect w canada  heritagemoment nbottom amherst ns man signals kind pierre xe x x son n salmonarmsalute n trudeau n trudeaumustgo n cdnpoli  elxn
positive,,thanks chat  elxn
positive,,thanks friends chair harout matossian meeting today valley north proud run endorsement xf x f x xa xf x f x xa xf x f x xa xf x f x xb  chooseforward  elxn  liberal
negative,Tell lies,constant headshake talking  scheertell  cdnpoli  elxn
negative,Scandal,damn left wing media canada  elxn  cdnpoli
negative,Others,settles god exist  cdnpoli  elxn
positive,,sounds like msm questions another interesting  elxn story
negative,Healthcare and Marijuana,xe x x chuck rifici cfo liberal party canada posing lambo n nhe like numerous liberals got rich knew trudeau would legalize weed n nnow every province selling every company growing lose millions one buys n n elxn  cdnpoli
negative,Others,muh freeze peach crowd epic cry replies pretty laughable clearly joke sorry hurt fee fees jfc conservatives biggest crybullies earth  cdnpoli  elxn
positive,, cons full toxic masculinity hate really want making decisions us deserve better  chooseforward  teamtrudeau  cdnpoli  elxn
positive,, postmediascam continuing like editorial boards ordered us bosses back conservatives n nour endorsement best choice canada andrew scheer n n scheerdisaster n scheerhypocrisy n cdnpoli n elxn n n
positive,, scheer conservative campaign victory hand uh oh xf x f x xa xf x f x xb xf x f x xa  cdnpoli  elxn
positive,,offering free transit fare exercising right vote monday  yqr  elxn
negative,Scandal,subverting canadian democracy paid  kinsellout smear  pcc racist sold soul devil try win beyond morally corrupt point morally devoid  voteppc  elxn
positive,,election roundup today xe x x paper fiery funny n npotshots every party xf x f x xa xf x f x xa xf x f x xa n nmy fave greens xe x x chave clear vision country country narnia xe x x n n elxn  cdnelxn n
positive,,beauty understatement  cdnpoli  elxn
negative,Others,bigger story bernier one routine mo need turf people altogether  canada xe x x worthy serving us great country n n truestory  factsmatter n cdnvote  elxn n canadavotes  elxn n itsourvote  chooseforward
positive,,child benefit demonstrates huge impact ubi helps pay childcare necessities lifting people n nunlike corporate welfare concentrates wealth top every penny goes back economy need programs like  chooseforward  elxn
positive,,choice markham stouffville clear n nwe  chooseforward invest canadians go back harper years cuts things rely n non october st stop conservative cuts vote liberal n n elxn
negative,Tell lies,conservative party xe x x coming stephen harper american think tank influenced white nationalist party canada spent campaign calling people names smearing opposition talking little policy possible n n cdnpoli  elxn
positive,,election promises campaign remind lot  elxn  cdnpoli
positive,,famous xe x x cdaisy ad xe x x updated  elxn
positive,,federal government responsible vital income security programs canada child benefit guaranteed income supplement seniors voting monday check parties stand  elxn  cdnpoli  bcpoli
negative,Others,issues caught attention  elxn somehow boring trivial substance accountability look like
negative,Others,kind logic defies belief  elxn
positive,,latest cog language news sources around world n nexpect perspectives  cdnpoli  elxn
negative,Tell lies,liberal party canda always bastion fake progressivism  elxn  cdnpoli n
